Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,441.41,491.11,39.87,33.78,spp.org,false,
2024-01-01 01:00:00,USA,Southwest Power Pool,US-CENT-SWPP,431.28,480.52,41.02,34.88,spp.org,false,
2024-01-01 02:00:00,USA,Southwest Power Pool,US-CENT-SWPP,443.2,493.21,39.51,33.31,spp.org,false,
2024-01-01 03:00:00,USA,Southwest Power Pool,US-CENT-SWPP,449.2,500.37,38.35,32.09,spp.org,false,
2024-01-01 04:00:00,USA,Southwest Power Pool,US-CENT-SWPP,473.56,526.97,34.91,28.51,spp.org,false,
2024-01-01 05:00:00,USA,Southwest Power Pool,US-CENT-SWPP,502.66,558.96,30.68,24.16,spp.org,false,
2024-01-01 06:00:00,USA,Southwest Power Pool,US-CENT-SWPP,527.24,585.91,27.18,20.58,spp.org,false,
2024-01-01 07:00:00,USA,Southwest Power Pool,US-CENT-SWPP,537.79,597.54,25.68,19.07,spp.org,false,
2024-01-01 08:00:00,USA,Southwest Power Pool,US-CENT-SWPP,545.21,605.29,24.84,18.19,spp.org,false,
2024-01-01 09:00:00,USA,Southwest Power Pool,US-CENT-SWPP,541.99,602.51,24.89,18.16,spp.org,false,
2024-01-01 10:00:00,USA,Southwest Power Pool,US-CENT-SWPP,533.53,594.47,25.44,18.73,spp.org,false,
2024-01-01 11:00:00,USA,Southwest Power Pool,US-CENT-SWPP,525.4,586.33,26.23,19.62,spp.org,false,
2024-01-01 12:00:00,USA,Southwest Power Pool,US-CENT-SWPP,511.75,572.24,27.8,21.37,spp.org,false,
2024-01-01 13:00:00,USA,Southwest Power Pool,US-CENT-SWPP,525.36,587.2,25.88,19.53,spp.org,false,
2024-01-01 14:00:00,USA,Southwest Power Pool,US-CENT-SWPP,528.77,590.71,25.53,19.3,spp.org,false,
2024-01-01 15:00:00,USA,Southwest Power Pool,US-CENT-SWPP,523.92,585.64,26.14,19.87,spp.org,false,
2024-01-01 16:00:00,USA,Southwest Power Pool,US-CENT-SWPP,533.85,596.35,24.83,18.49,spp.org,false,
