Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,USA,Pacificorp West,US-NW-PACW,171.47,222.86,66.01,60.91,eia.gov,false,
2024-01-01 01:00:00,USA,Pacificorp West,US-NW-PACW,170.95,221.16,66.75,61.78,eia.gov,false,
2024-01-01 02:00:00,USA,Pacificorp West,US-NW-PACW,174.04,224.66,66.15,61.22,eia.gov,false,
2024-01-01 03:00:00,USA,Pacificorp West,US-NW-PACW,195.86,248.75,62.73,57.92,eia.gov,false,
2024-01-01 04:00:00,USA,Pacificorp West,US-NW-PACW,197.38,250.66,62.34,57.48,eia.gov,false,
2024-01-01 05:00:00,USA,Pacificorp West,US-NW-PACW,205.45,259.44,61.03,55.94,eia.gov,false,
2024-01-01 06:00:00,USA,Pacificorp West,US-NW-PACW,226.95,282.81,57.97,52.82,eia.gov,false,
2024-01-01 07:00:00,USA,Pacificorp West,US-NW-PACW,223.71,275.28,60.87,54.82,eia.gov,false,
2024-01-01 08:00:00,USA,Pacificorp West,US-NW-PACW,241.85,296.01,57.74,51.86,eia.gov,false,
2024-01-01 09:00:00,USA,Pacificorp West,US-NW-PACW,256.28,311.42,55.79,50.01,eia.gov,false,
2024-01-01 10:00:00,USA,Pacificorp West,US-NW-PACW,261.92,317.98,54.74,48.76,eia.gov,false,
2024-01-01 11:00:00,USA,Pacificorp West,US-NW-PACW,258.93,314.91,55.16,49.23,eia.gov,false,
2024-01-01 12:00:00,USA,Pacificorp West,US-NW-PACW,259.83,315.47,55.26,49.51,eia.gov,false,
2024-01-01 13:00:00,USA,Pacificorp West,US-NW-PACW,247.72,301.48,57.39,51.38,eia.gov,false,
2024-01-01 14:00:00,USA,Pacificorp West,US-NW-PACW,233.12,285.08,59.74,53.68,eia.gov,false,
2024-01-01 15:00:00,USA,Pacificorp West,US-NW-PACW,242.39,295.71,58.3,52.81,eia.gov,false,
2024-01-01 16:00:00,USA,Pacificorp West,US-NW-PACW,235.29,289.32,59.0,53.79,eia.gov,false,
2024-01-01 17:00:00,USA,Pacificorp West,US-NW-PACW,228.22,282.78,59.83,55.35,eia.gov,false,
2024-01-01 18:00:00,USA,Pacificorp West,US-NW-PACW,217.57,271.06,61.32,56.65,eia.gov,false,
2024-01-01 19:00:00,USA,Pacificorp West,US-NW-PACW,208.39,260.14,63.09,58.08,eia.gov,false,
2024-01-01 20:00:00,USA,Pacificorp West,US-NW-PACW,202.62,253.69,63.9,58.63,eia.gov,false,
2024-01-01 21:00:00,USA,Pacificorp West,US-NW-PACW,187.71,237.17,66.22,60.91,eia.gov,false,
2024-01-01 22:00:00,USA,Pacificorp West,US-NW-PACW,185.56,235.04,66.45,61.1,eia.gov,false,
2024-01-01 23:00:00,USA,Pacificorp West,US-NW-PACW,201.66,252.59,63.95,58.22,eia.gov,false,
2024-01-02 00:00:00,USA,Pacificorp West,US-NW-PACW,151.39,198.05,71.23,65.27,eia.gov,false,
2024-01-02 01:00:00,USA,Pacificorp West,US-NW-PACW,150.14,196.08,71.87,66.16,eia.gov,false,
2024-01-02 02:00:00,USA,Pacificorp West,US-NW-PACW,150.78,196.79,71.73,65.94,eia.gov,false,
2024-01-02 03:00:00,USA,Pacificorp West,US-NW-PACW,159.23,206.47,70.17,64.46,eia.gov,false,
2024-01-02 04:00:00,USA,Pacificorp West,US-NW-PACW,162.96,211.42,69.04,63.37,eia.gov,false,
2024-01-02 05:00:00,USA,Pacificorp West,US-NW-PACW,176.94,227.55,66.43,60.54,eia.gov,false,
2024-01-02 06:00:00,USA,Pacificorp West,US-NW-PACW,198.32,251.77,62.74,56.67,eia.gov,false,
