energy_uj,cpu,commit_hash,repo,branch,workflow,run_id,label,source,cpu_util_avg,duration_us,workflow_name,filter_type,filter_project,filter_machine,filter_tags,lat,lon,city,ip,carbon_intensity_g,carbon_ug,start_time,min_carbon_intensity_g,min_carbon_intensity_time
65655300,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13448553823,Run gitlint,github,32.6347,15981071,Linting,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,20.55.86.200,506.0,37780,2025-02-21 02:07:56+00:00,463.0,16.0
76637800,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804487,13448555038,build pip wheel checkout,github,29.7556,19041195,Build pip wheel with Energy Measurement,machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,20.25.192.70,506.0,44210,2025-02-21 02:08:00+00:00,463.0,16.0
112414000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13448553823,Run gitlint,github,41.1922,23592845,Linting,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,20.55.47.160,506.0,63612,2025-02-21 02:07:56+00:00,463.0,16.0
116013000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13448553823,Run gitlint,github,36.552,25579514,Linting,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,74.235.134.186,506.0,66000,2025-02-21 02:07:57+00:00,463.0,16.0
116888000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13448553823,Run gitlint,github,37.2292,26358288,Linting,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,20.42.12.202,506.0,66666,2025-02-21 02:07:56+00:00,463.0,16.0
120497000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13448553823,Run gitlint,github,39.5436,26017353,Linting,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,172.214.45.226,506.0,68395,2025-02-21 02:07:58+00:00,463.0,16.0
115125000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13448553823,Run gitlint,github,35.4272,26160333,Linting,machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,172.214.175.245,506.0,65717,2025-02-21 02:07:58+00:00,463.0,16.0
105586000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13448552807,build docs,github,24.0204,26554310,Testing,machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,20.169.14.37,259.0,34921,2025-02-21 02:08:03+00:00,147.0,19.0
140022000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13448553823,Run gitlint,github,29.7888,32840940,Linting,machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,20.169.14.178,259.0,45635,2025-02-21 02:07:59+00:00,147.0,19.0
149608000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804495,13448553823,Run gitlint,github,32.5467,33909612,Linting,machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,20.172.29.35,259.0,48423,2025-02-21 02:08:00+00:00,147.0,19.0
